date,temp,rack_config,rack_no,
20221204,28.5,A,24,
20221204,28.5,B,65,
20221204,28.5,C,42,
20221204,31,A,15,
20221204,31,B,75,
20221204,31,C,53,53C_31blue
20221204,33,A,13,
20221204,33,B,49,
20221204,33,C,30,
20221204,34,A,14,
20221204,34,B,38,
20221204,34,C,83,
20221204,35,A,16,
20221204,35,B,76,
20221204,35,C,53,
20221204,36,A,19,
20221204,36,B,44,
20221204,36,C,66,
20221204,37,A,17,
20221204,37,B,89,
20221204,37,C,94,
20221204,38,A,25,
20221204,38,B,58,
20221204,38,C,76,